num,x,y,z,q1,q2,q3,q4
0,-0.874158501625,0.00321481889114,0.0,0.0,0.0,0.00294053759407,0.99999567661
1,-0.874158501625,0.00321481889114,0.0,0.0,0.0,0.00294053759407,0.99999567661
2,-0.42388856411,0.217449963093,0.0,0.0,0.0,0.183913052971,0.982942515586
3,0.00844760984182,1.12967324257,0.0,0.0,0.0,-0.707684688547,0.706528401125
4,0.00422425149009,0.882623255253,0.0,0.0,0.0,-0.707749201754,0.706463776436
5,0.190039128065,0.470872908831,0.0,0.0,0.0,-0.543607721091,0.839339410233
6,1.10664927959,0.00244145211764,0.0,0.0,0.0,0.999994460886,0.00332839271669
7,0.881899297237,0.00488476129249,0.0,0.0,0.0,0.999990451869,-0.00436991651673
8,0.517901837826,-0.241851329803,0.0,0.0,0.0,0.989179533421,-0.146710090522
9,0.00457759667188,-1.13789916039,0.0,0.0,0.0,0.707730673761,0.706482337655
10,0.00228842138313,-0.856286287308,0.0,0.0,0.0,0.707814466943,0.706398386455
11,-0.261007577181,-0.428142815828,0.0,0.0,0.0,0.784811909184,0.619734029405
12,-1.06698763371,0.00642897095531,0.0,0.0,0.0,-0.000717978862827,0.999999742253
13,-0.874158501625,0.00321481889114,0.0,0.0,0.0,0.00294053759407,0.99999567661
14,-0.42388856411,0.217449963093,0.0,0.0,0.0,0.183913052971,0.982942515586
